"","clutch_ID","maternal_prov_rate","duration_session","mother_ID","group_ID","season","female_helpers","male_helpers","brood_size","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall"
"1","AA007",5.50083669948755,3.0912037037037,"4H-48756","AARDVARK",2015,1,0,2,0.25,0.75,0,0,5,0
"2","AY007",5.94659725813699,2.27041666666667,"4H-39163","AYEAYE",2008,0,0,1,-1.22222222222222,1.22222222222222,-0.888888888888889,0.888888888888889,5,0
"3","AY009",4.51612903225806,3.1,"4H-39163","AYEAYE",2009,1,2,1,-0.222222222222222,1.22222222222222,1.11111111111111,0.888888888888889,0,0
"4","AY012",9.62566844919786,3.11666666666667,"4H-39163","AYEAYE",2010,4,1,2,2.77777777777778,1.22222222222222,0.111111111111111,0.888888888888889,2,0
"5","AY022",4.40677966101695,2.95,"4H-39163","AYEAYE",2013,1,0,2,-0.222222222222222,1.22222222222222,-0.888888888888889,0.888888888888889,2,41
"6","AY026",3.40965796566611,3.08824074074074,"4H-39163","AYEAYE",2014,2,2,1,0.777777777777778,1.22222222222222,1.11111111111111,0.888888888888889,0,0
"7","BO012",9.99900589016127,2.54564814814815,"4H-39172","BONGO",2009,2.66666666666667,3,2,1.57142857142857,1.0952380952381,1.57142857142857,1.42857142857143,0,36.5
"8","BO013",9.14368650217707,3.06222222222222,"4H-39172","BONGO",2009,2,2,1,0.904761904761905,1.0952380952381,0.571428571428571,1.42857142857143,6,65.5
"9","BO020",5.37313432835821,3.35,"4H-39172","BONGO",2012,0,1,2,-1.0952380952381,1.0952380952381,-0.428571428571429,1.42857142857143,0,27.5
"10","BO025",3.08542043614894,2.91694444444444,"4H-39172","BONGO",2014,1,2,2,-0.0952380952380953,1.0952380952381,0.571428571428571,1.42857142857143,0,0
"11","BO027",5.95354366304087,3.03222222222222,"4H-39172","BONGO",2014,1,1,1,-0.0952380952380953,1.0952380952381,-0.428571428571429,1.42857142857143,0,0
"12","CA006",4.27779488758854,3.15,"4H-48717","CANARY",2014,0,2,2,0,0,0.4,1.6,0,0
"13","CH009",0.806451612903226,3.1,"4H-39192","CHIMP",2009,1,1,1,0,1,0,1,2,8.5
"14","CH016",9.98415213946117,2.80444444444444,"4H-48935","CHIMP",2013,0,0,2,-0.333333333333333,0.333333333333333,-1,1,0,0
"15","CH019",11.0495495495495,3.04166666666667,"4H-48935","CHIMP",2014,1,3,3,0.666666666666667,0.333333333333333,2,1,0,0
"16","DA001",5.02202643171806,3.78333333333333,"4H-48717","DASSIE",2010,0,1,1,0,0,0,1,0,0
"17","DI001",8.38986719304625,2.82777777777778,"4H-39162","DIKDIK",2007,0,0,1,-1.25,1.25,-0.833333333333333,0.833333333333333,0,0
"18","DI006",7.65693566968704,3.02009259259259,"4H-39162","DIKDIK",2008,2,1,2,0.75,1.25,0.166666666666667,0.833333333333333,5,20
"19","DI020",4.73018077835634,2.97768518518519,"4H-48858","DIKDIK",2014,2,2,2,0.8,1.2,0,2,0,0
"20","EL003",16.0413510382319,3.11694444444444,"4H-48927","ELAND",2007,0,1,3,-1.78260869565217,1.78260869565217,0.0434782608695652,0.956521739130435,2,51.25
"21","EL006",5.12057495842243,3.06111111111111,"4H-48927","ELAND",2008,3,1,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,0,0
"22","EL008",6.12879958863449,2.6875,"4H-48927","ELAND",2008,3,1,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,6,20
"23","EL015",6.20689655172414,3.38333333333333,"4H-48927","ELAND",2010,2,0,2,0.217391304347826,1.78260869565217,-0.956521739130435,0.956521739130435,3,27.5
"24","EL016",9.21045778865684,3.275,"4H-48927","ELAND",2011,2,2,2,0.217391304347826,1.78260869565217,1.04347826086957,0.956521739130435,0,0
"25","FO003",11.8085106382979,3.13333333333333,"4H-39187","FOSA",2007,0,0,3,0,0,0,0,0,27
"26","FO008",3.89910800641698,2.99814814814815,"4H-39196","FOSA",2008,0,1,1,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,0
"27","FO009",9.96271856895314,3.00833333333333,"4H-39196","FOSA",2008,0,1,2,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,12
"28","FO017",3.99447513812155,3.25833333333333,"4H-39196","FOSA",2010,4,1,2,2.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,1,0
"29","FO018",4.72906403940887,3.38333333333333,"4H-39196","FOSA",2010,3,1,2,1.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,3,27.5
"30","FO020",8.02053013939127,2.74064814814815,"4H-39196","FOSA",2011,1,1,2,-0.578947368421053,1.57894736842105,-0.210526315789474,1.21052631578947,0,0
"31","FO027",5.68048418408131,3.08111111111111,"4H-54927","FOSA",2014,3,1,1,0.666666666666667,2.33333333333333,-0.222222222222222,1.22222222222222,0,4
"32","FO029",5.78184678365331,3.41953703703704,"4H-54927","FOSA",2015,4,2,2,1.66666666666667,2.33333333333333,0.777777777777778,1.22222222222222,4,0.5
"33","GE003",9.76800707026072,1.99166666666667,"4H-48920","GELADA",2007,0,1,2,-1.7,1.7,-0.2,1.2,0,18
"34","GE009",7.13101463980187,3.03490740740741,"4H-48920","GELADA",2008,2,0,2,0.3,1.7,-1.2,1.2,6,22
"35","GE014",7.48914616497829,3.07111111111111,"4H-48920","GELADA",2009,3,3,2,1.3,1.7,1.8,1.2,2,8.5
