"","egg_volume","hatchling_weight","group_ID","mother_ID"
"101",4085.2932552,4.12,"NYALA","4H-54972"
"102",4222.8635904,3.1,"OKAPI","4H-48765"
"103",3880.71642168,3.93,"OKAPI","4H-48766"
"104",3926.57093420625,4.36,"OKAPI","4H-48766"
"105",4004.43026166,3.36,"OKAPI","4H-48766"
"106",3833.562609045,3.04,"OKAPI","4H-48766"
"107",4399.65200664,1.77,"PORCUPINE","4H-48779"
"108",4448.973375,3.65,"PORCUPINE","4H-48779"
"109",4230.61203096,4.59,"PORCUPINE","4H-48902"
"110",3757.59609984,3.48,"PORCUPINE","4H-48902"
"111",4056.4957896,4.48,"PORCUPINE","4H-48902"
"112",3340.49184,4.63,"PORCUPINE","4H-48902"
"113",4042.71353376,3.24,"PUKU","4H-48921"
"114",3936.0816,2.72,"PUKU","4H-48921"
"115",4247.37270945,4.07,"PUKU","4H-48921"
"116",4013.70675552,4.04,"PUKU","4H-48921"
"117",4199.76771552,3.78,"PUKU","4H-54977"
"118",3841.992,3.25,"PUKU","4H-54977"
"119",4220.70071472,3.2,"QUAGGA","4H-48945"
"120",3426.84342,2.56,"RATEL","4H-39170"
"121",3238.34987466,3.15,"RATEL","4H-39170"
"122",3303.3856752,3.28,"RATEL","4H-39170"
"123",3166.99050096,3.12,"RATEL","4H-39170"
"124",3470.6304,2.76,"RATEL","4H-39170"
"125",3480.2188903125,2.57,"RATEL","4H-39170"
"126",3542.35400064,2.47,"RATEL","4H-39170"
"127",3356.46856512,1.99,"RATEL","4H-54912"
"128",3397.07100744,2.6,"RATEL","4H-54912"
"129",3206.8721664,2.78,"RATEL","4H-54912"
"130",3099.97642752,3.32,"RATEL","4H-54912"
"131",3458.69641008,3.14,"RATEL","4H-54912"
"132",3692.16,4.08,"ROBIN","4H-48917"
"133",3385.72129896,3.55,"ROBIN","4H-48917"
"134",3558.32964,2.8,"ROBIN","4H-48917"
"135",3746.7868464,3.47,"ROBIN","4H-48932"
"136",3826.04579892,3.29,"ROBIN","4H-48932"
"137",3812.24657088,2.7,"ROBIN","4H-48932"
"138",3946.36763934,3.17,"STORK","4H-54951"
"139",3810.30912,3.77,"STORK","4H-54951"
"140",3498.17454,3.15,"STORK","4H-54951"
"141",4073.34015144,4.07,"STORK","4H-54951"
"142",4174.13824128,4.28,"SUNI","4H-48756"
"143",4262.4995353875,5.56,"SUNI","4H-48756"
"144",4255.34715648,3.65,"SUNI","4H-48989"
"145",4062.02775552,3.07,"TIT","4H-54906"
"146",4125.4969392,3.67,"TIT","4H-54906"
"147",3602.74734792,3.42,"TIT","4H-54906"
"148",3998.808,2.72,"TIT","4H-54906"
"149",3935.52037188,3.29,"TIT","4H-54906"
"150",4024.77039216,3.1,"TIT","4H-54906"
