"","mother_ID","group_ID","session_duration","maternal_n_feeds","maternal_prov_rate","clutch_ID","date","sex","rank","clutch_date","season","female_helpers","male_helpers","ba_day","brood_size","cent_female_helpers","mean_female_helpers","cent_male_helpers","mean_male_helpers","temp_above_35","rainfall"
"25","4H-39192","CHIMP",3.1,3,0.967741935483871,"CH009",2010-03-01,"F","DOMINANT","CH009_2010-03-01",2009,1,1,10,1,0,1,0,1,2,8.5
"26","4H-39192","CHIMP",3.1,2,0.645161290322581,"CH009",2010-03-02,"F","DOMINANT","CH009_2010-03-02",2009,1,1,11,1,0,1,0,1,2,8.5
"27","4H-48935","CHIMP",2.80444444444444,28,9.98415213946117,"CH016",2014-01-13,"F","DOMINANT","CH016_2014-01-13",2013,0,0,12,2,-0.333333333333333,0.333333333333333,-1,1,0,0
"28","4H-48935","CHIMP",3,41,13.6666666666667,"CH019",2014-12-15,"F","DOMINANT","CH019_2014-12-15",2014,1,3,11,3,0.666666666666667,0.333333333333333,2,1,0,0
"29","4H-48935","CHIMP",3.08333333333333,26,8.43243243243243,"CH019",2014-12-16,"F","DOMINANT","CH019_2014-12-16",2014,1,3,12,3,0.666666666666667,0.333333333333333,2,1,0,0
"30","4H-48717","DASSIE",3.78333333333333,19,5.02202643171806,"DA001",2011-02-10,"F","DOMINANT","DA001_2011-02-10",2010,0,1,11,1,0,0,0,1,0,0
"31","4H-39162","DIKDIK",2.68333333333333,14,5.21739130434783,"DI001",2007-12-03,"F","DOMINANT","DI001_2007-12-03",2007,0,0,10,1,-1.25,1.25,-0.833333333333333,0.833333333333333,0,0
"32","4H-39162","DIKDIK",2.7,26,9.62962962962963,"DI001",2007-12-04,"F","DOMINANT","DI001_2007-12-04",2007,0,0,11,1,-1.25,1.25,-0.833333333333333,0.833333333333333,0,0
"33","4H-39162","DIKDIK",3.1,32,10.3225806451613,"DI001",2007-12-05,"F","DOMINANT","DI001_2007-12-05",2007,0,0,12,1,-1.25,1.25,-0.833333333333333,0.833333333333333,0,0
"34","4H-39162","DIKDIK",2.97388888888889,25,8.40650102746124,"DI006",2009-03-04,"F","DOMINANT","DI006_2009-03-04",2008,2,1,10,2,0.75,1.25,0.166666666666667,0.833333333333333,5,20
"35","4H-39162","DIKDIK",3.11805555555556,16,5.13140311804009,"DI006",2009-03-05,"F","DOMINANT","DI006_2009-03-05",2008,2,1,11,2,0.75,1.25,0.166666666666667,0.833333333333333,5,20
"36","4H-39162","DIKDIK",2.96833333333333,28,9.4329028635598,"DI006",2009-03-06,"F","DOMINANT","DI006_2009-03-06",2008,2,1,12,2,0.75,1.25,0.166666666666667,0.833333333333333,5,20
"37","4H-48858","DIKDIK",2.84638888888889,18,6.32380208841612,"DI020",2014-12-11,"F","DOMINANT","DI020_2014-12-11",2014,2,2,10,2,0.8,1.2,0,2,0,0
"38","4H-48858","DIKDIK",3.03333333333333,3,0.989010989010989,"DI020",2014-12-12,"F","DOMINANT","DI020_2014-12-12",2014,2,2,11,2,0.8,1.2,0,2,0,0
"39","4H-48858","DIKDIK",3.05333333333333,21,6.87772925764192,"DI020",2014-12-13,"F","DOMINANT","DI020_2014-12-13",2014,2,2,12,2,0.8,1.2,0,2,0,0
"40","4H-48927","ELAND",3.11694444444444,50,16.0413510382319,"EL003",2008-01-31,"F","DOMINANT","EL003_2008-01-31",2007,0,1,10,3,-1.78260869565217,1.78260869565217,0.0434782608695652,0.956521739130435,2,51.25
"41","4H-48927","ELAND",3.05,20,6.55737704918033,"EL006",2008-11-30,"F","DOMINANT","EL006_2008-11-30",2008,3,1,10,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,0,0
"42","4H-48927","ELAND",3.06666666666667,14,4.56521739130435,"EL006",2008-12-01,"F","DOMINANT","EL006_2008-12-01",2008,3,1,11,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,0,0
"43","4H-48927","ELAND",3.06666666666667,13,4.23913043478261,"EL006",2008-12-02,"F","DOMINANT","EL006_2008-12-02",2008,3,1,12,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,0,0
"44","4H-48927","ELAND",2.76166666666667,18,6.51780325890163,"EL008",2009-02-28,"F","DOMINANT","EL008_2009-02-28",2008,3,1,11,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,6,20
"45","4H-48927","ELAND",2.61333333333333,15,5.73979591836735,"EL008",2009-03-01,"F","DOMINANT","EL008_2009-03-01",2008,3,1,12,2,1.21739130434783,1.78260869565217,0.0434782608695652,0.956521739130435,6,20
"46","4H-48927","ELAND",3.38333333333333,21,6.20689655172414,"EL015",2011-03-23,"F","DOMINANT","EL015_2011-03-23",2010,2,0,12,2,0.217391304347826,1.78260869565217,-0.956521739130435,0.956521739130435,3,27.5
"47","4H-48927","ELAND",3.03333333333333,30,9.89010989010989,"EL016",2012-01-15,"F","DOMINANT","EL016_2012-01-15",2011,2,2,11,2,0.217391304347826,1.78260869565217,1.04347826086957,0.956521739130435,0,0
"48","4H-48927","ELAND",3.51666666666667,30,8.53080568720379,"EL016",2012-01-16,"F","DOMINANT","EL016_2012-01-16",2011,2,2,12,2,0.217391304347826,1.78260869565217,1.04347826086957,0.956521739130435,0,0
"49","4H-39187","FOSA",3.13333333333333,37,11.8085106382979,"FO003",2008-01-25,"F","DOMINANT","FO003_2008-01-25",2007,0,0,10,3,0,0,0,0,0,27
"50","4H-39196","FOSA",3.06444444444444,9,2.93691080493111,"FO008",2009-01-01,"F","DOMINANT","FO008_2009-01-01",2008,0,1,10,1,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,0
"51","4H-39196","FOSA",2.97777777777778,16,5.37313432835821,"FO008",2009-01-02,"F","DOMINANT","FO008_2009-01-02",2008,0,1,11,1,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,0
"52","4H-39196","FOSA",2.95222222222222,10,3.38727888596161,"FO008",2009-01-03,"F","DOMINANT","FO008_2009-01-03",2008,0,1,12,1,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,0
"53","4H-39196","FOSA",3.07166666666667,32,10.4177970699946,"FO009",2009-03-18,"F","DOMINANT","FO009_2009-03-18",2008,0,1,10,2,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,12
"54","4H-39196","FOSA",2.945,28,9.50764006791171,"FO009",2009-03-19,"F","DOMINANT","FO009_2009-03-19",2008,0,1,11,2,-1.57894736842105,1.57894736842105,-0.210526315789474,1.21052631578947,4,12
"55","4H-39196","FOSA",3.5,21,6,"FO017",2011-02-03,"F","DOMINANT","FO017_2011-02-03",2010,4,1,10,2,2.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,1,0
"56","4H-39196","FOSA",3.01666666666667,6,1.98895027624309,"FO017",2011-02-05,"F","DOMINANT","FO017_2011-02-05",2010,4,1,12,2,2.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,1,0
"57","4H-39196","FOSA",3.38333333333333,16,4.72906403940887,"FO018",2011-03-21,"F","DOMINANT","FO018_2011-03-21",2010,3,1,10,2,1.42105263157895,1.57894736842105,-0.210526315789474,1.21052631578947,3,27.5
"58","4H-39196","FOSA",2.46666666666667,8,3.24324324324324,"FO020",2012-01-11,"F","DOMINANT","FO020_2012-01-11",2011,1,1,10,2,-0.578947368421053,1.57894736842105,-0.210526315789474,1.21052631578947,0,0
"59","4H-39196","FOSA",3.1,12,3.87096774193548,"FO020",2012-01-12,"F","DOMINANT","FO020_2012-01-12",2011,1,1,11,2,-0.578947368421053,1.57894736842105,-0.210526315789474,1.21052631578947,0,0
"60","4H-39196","FOSA",2.65527777777778,45,16.9473794329951,"FO020",2012-01-13,"F","DOMINANT","FO020_2012-01-13",2011,1,1,12,2,-0.578947368421053,1.57894736842105,-0.210526315789474,1.21052631578947,0,0
"61","4H-54927","FOSA",3,10,3.33333333333333,"FO027",2014-12-22,"F","DOMINANT","FO027_2014-12-22",2014,3,1,10,1,0.666666666666667,2.33333333333333,-0.222222222222222,1.22222222222222,0,4
"62","4H-54927","FOSA",3,18,6,"FO027",2014-12-23,"F","DOMINANT","FO027_2014-12-23",2014,3,1,11,1,0.666666666666667,2.33333333333333,-0.222222222222222,1.22222222222222,0,4
"63","4H-54927","FOSA",3.24333333333333,25,7.70811921891059,"FO027",2014-12-24,"F","DOMINANT","FO027_2014-12-24",2014,3,1,12,1,0.666666666666667,2.33333333333333,-0.222222222222222,1.22222222222222,0,4
"64","4H-54927","FOSA",3.31888888888889,26,7.83394710411784,"FO029",2016-03-04,"F","DOMINANT","FO029_2016-03-04",2015,4,2,10,2,1.66666666666667,2.33333333333333,0.777777777777778,1.22222222222222,4,0.5
"65","4H-54927","FOSA",3.78972222222222,18,4.74968848493733,"FO029",2016-03-05,"F","DOMINANT","FO029_2016-03-05",2015,4,2,11,2,1.66666666666667,2.33333333333333,0.777777777777778,1.22222222222222,4,0.5
"66","4H-54927","FOSA",3.15,15,4.76190476190476,"FO029",2016-03-06,"F","DOMINANT","FO029_2016-03-06",2015,4,2,12,2,1.66666666666667,2.33333333333333,0.777777777777778,1.22222222222222,4,0.5
"67","4H-48772","GELADA",3.11666666666667,10,3.20855614973262,"GE030",2014-10-09,"F","DOMINANT","GE030_2014-10-09",2014,1,3,10,2,0.538461538461538,0.461538461538462,0.769230769230769,2.23076923076923,0,0
